ST	species	ID	adk	fumC	gyrB	icd	mdh	purA	recA
405	ecoli	ID1000002.fastq.gz.fasta	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
131	ecoli	ID1000006.fastq.gz.fasta	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
410	ecoli	ID1000008.fastq.gz.fasta	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(18)	recA(7)
73	ecoli	ID1000035.fastq.gz.fasta	adk(36)	fumC(24)	gyrB(9)	icd(13)	mdh(17)	purA(11)	recA(25)
10	ecoli	ID1000041.fastq.gz.fasta	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(2)
410	ecoli	ID1000066.fastq.gz.fasta	adk(6)	fumC(4)	gyrB(12)	icd(1)	mdh(20)	purA(18)	recA(7)
122	ecoli	ID1000068.fastq.gz.fasta	adk(15)	fumC(24)	gyrB(10)	icd(46)	mdh(33)	purA(37)	recA(36)
131	ecoli	ID1000069.fastq.gz.fasta	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
131	ecoli	ID1000078.fastq.gz.fasta	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
38	ecoli	ID1000088.fastq.gz.fasta	adk(4)	fumC(26)	gyrB(2)	icd(25)	mdh(5)	purA(5)	recA(19)
131	ecoli	ID1000092.fastq.gz.fasta	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
345	ecoli	ID1000095.fastq.gz.fasta	adk(6)	fumC(4)	gyrB(14)	icd(1)	mdh(20)	purA(62)	recA(7)
131	ecoli	ID1000098.fastq.gz.fasta	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
648	ecoli	ID1000099.fastq.gz.fasta	adk(92)	fumC(4)	gyrB(87)	icd(96)	mdh(70)	purA(58)	recA(2)
-	ecoli	ID1000104.fastq.gz.fasta	adk(92)	fumC(4)	gyrB(-)	icd(96)	mdh(70)	purA(58)	recA(2)
405	ecoli	ID1000116.fastq.gz.fasta	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
44	ecoli	ID1000126.fastq.gz.fasta	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(8)	recA(7)
405	ecoli	ID1000129.fastq.gz.fasta	adk(35)	fumC(37)	gyrB(29)	icd(25)	mdh(4)	purA(5)	recA(73)
131	ecoli	ID1000148.fastq.gz.fasta	adk(53)	fumC(40)	gyrB(47)	icd(13)	mdh(36)	purA(28)	recA(29)
167	ecoli	ID1000152.fastq.gz.fasta	adk(10)	fumC(11)	gyrB(4)	icd(8)	mdh(8)	purA(13)	recA(2)
